date,averageprice,totalvolume,totalbags,smallbags,largebags,xlargebags,type,region,price_category,year
2015-01-04,1.84,3966.0,945.43,838.34,107.09,0.0,organic,Nashville,High price,2015
2015-01-04,1.41,2604.25,2360.0,2360.0,0.0,0.0,organic,NewOrleans,High price,2015
2015-01-04,1.93,17328.24,2269.38,2269.38,0.0,0.0,organic,NewYork,High price,2015
2015-01-04,1.88,48280.46,21391.49,21379.79,11.7,0.0,organic,Northeast,High price,2015
2015-01-04,1.83,7301.3,6664.25,6664.25,0.0,0.0,organic,NorthernNewEngland,High price,2015
2015-01-04,1.8,2057.29,803.33,803.33,0.0,0.0,organic,Orlando,High price,2015
2015-01-04,1.72,3788.6,1794.91,1794.91,0.0,0.0,organic,Philadelphia,High price,2015
2015-01-04,1.12,17296.85,858.6,830.0,28.6,0.0,organic,PhoenixTucson,High price,2015
2015-01-04,1.81,1339.36,461.03,447.01,14.02,0.0,organic,Pittsburgh,High price,2015
2015-01-04,1.69,34190.37,15338.27,13793.22,1545.05,0.0,organic,Plains,High price,2015
2015-01-04,1.28,32927.82,3658.63,613.33,3045.3,0.0,organic,Portland,High price,2015
2015-01-04,2.01,3397.0,1072.67,993.94,78.73,0.0,organic,RaleighGreensboro,High price,2015
2015-01-04,1.54,4212.16,1922.3,1570.28,352.02,0.0,organic,RichmondNorfolk,High price,2015
2015-01-04,1.39,4414.29,1597.26,1139.42,457.84,0.0,organic,Roanoke,High price,2015
2015-01-04,1.33,9213.49,1158.45,1158.45,0.0,0.0,organic,Sacramento,High price,2015
2015-01-04,1.23,19089.36,828.81,828.81,0.0,0.0,organic,SanDiego,High price,2015
2015-01-04,1.18,22630.58,426.67,426.67,0.0,0.0,organic,SanFrancisco,High price,2015
2015-01-04,1.49,33795.91,6252.15,452.73,5799.42,0.0,organic,Seattle,High price,2015
2015-01-04,1.86,3351.76,1802.0,1768.67,33.33,0.0,organic,SouthCarolina,High price,2015
2015-01-04,1.35,53494.91,20768.73,20622.28,146.45,0.0,organic,SouthCentral,High price,2015
2015-01-04,1.75,27365.89,13598.46,13061.1,537.36,0.0,organic,Southeast,High price,2015
2015-01-04,1.3,5782.7,838.26,223.33,614.93,0.0,organic,Spokane,High price,2015
2015-01-04,1.8,3597.07,523.33,523.33,0.0,0.0,organic,StLouis,High price,2015
2015-01-04,1.72,593.39,490.68,490.68,0.0,0.0,organic,Syracuse,High price,2015
2015-01-04,1.7,1885.48,1106.67,1106.67,0.0,0.0,organic,Tampa,High price,2015
2015-01-04,1.46,612910.15,158641.83,115068.71,43573.12,0.0,organic,TotalUS,High price,2015
2015-01-04,1.4,187548.3,44268.18,10023.72,34244.46,0.0,organic,West,High price,2015
2015-01-04,1.64,6182.81,1663.34,1663.34,0.0,0.0,organic,WestTexNewMexico,High price,2015
2015-01-11,1.77,1182.56,838.44,838.44,0.0,0.0,organic,Albany,High price,2015
2015-01-11,1.84,3743.82,922.41,865.0,57.41,0.0,organic,Atlanta,High price,2015
2015-01-11,1.22,26008.88,6165.85,6165.85,0.0,0.0,organic,BaltimoreWashington,High price,2015
2015-01-11,1.44,2378.68,455.28,170.0,285.28,0.0,organic,Boise,High price,2015
2015-01-11,1.94,2217.82,1248.93,1248.93,0.0,0.0,organic,Boston,High price,2015
2015-01-11,1.59,2078.49,1934.98,1934.98,0.0,0.0,organic,BuffaloRochester,High price,2015
2015-01-11,1.1,158110.68,8421.43,8421.43,0.0,0.0,organic,California,High price,2015
2015-01-11,2.29,2390.22,431.78,431.78,0.0,0.0,organic,Charlotte,High price,2015
2015-01-11,1.79,12915.74,588.89,588.89,0.0,0.0,organic,Chicago,High price,2015
2015-01-11,1.32,11313.77,752.08,310.62,441.46,0.0,organic,CincinnatiDayton,High price,2015
2015-01-11,1.68,4193.17,617.42,416.25,201.17,0.0,organic,Columbus,High price,2015
2015-01-11,1.35,12126.63,3636.67,3636.67,0.0,0.0,organic,DallasFtWorth,High price,2015
2015-01-11,1.28,30682.77,6731.23,1699.95,5031.28,0.0,organic,Denver,High price,2015
2015-01-11,1.87,6926.75,871.26,329.5,541.76,0.0,organic,Detroit,High price,2015
2015-01-11,1.87,761.86,193.08,190.0,3.08,0.0,organic,GrandRapids,High price,2015
